Workspace                                                                                                                        USER_TABLE                                                  
WorkspaceAuditTrail                                                                                                              USER_TABLE                                                  
WorkspaceDataSource                                                                                                              USER_TABLE                                                  
WorkspaceDataSourceIndexRuns                                                                                                     USER_TABLE                                                  
WorkspaceDataSourceRun                                                                                                           USER_TABLE                                                  
WorkspaceGovernanceResult                                                                                                        USER_TABLE                                                  
WorkspaceGovernanceResultRun                                                                                                     USER_TABLE                                                  
WorkspaceItemData                                                                                                                USER_TABLE                                                  
WorkspaceItemSequence                                                                                                            USER_TABLE                                                  
ZipAccount                                                                                                                       USER_TABLE                                                  
ZipAddrEntry                                                                                                                     USER_TABLE                                                  
ZipAddrListEntry                                                                                                                 USER_TABLE                                                  
ZlCaseObject                                                                                                                     USER_TABLE                                                  
ZLDUAL                                                                                                                           USER_TABLE                                                  
ZLHost                                                                                                                           USER_TABLE                                                  
ZLInstance                                                                                                                       USER_TABLE                                                  
ZLNotifyEvent                                                                                                                    USER_TABLE                                                  
ZLNotifyMessage                                                                                                                  USER_TABLE                                                  
ZLObject                                                                                                                         USER_TABLE                                                  
ZLPAddress                                                                                                                       USER_TABLE                                                  
ZLPAuditTrail                                                                                                                    USER_TABLE                                                  
ZLPClientAccess                                                                                                                  USER_TABLE                                                  
ZLPClientMessage                                                                                                                 USER_TABLE                                                  
ZLPClientMessageRecipient                                                                                                        USER_TABLE                                                  
ZLPClientMessageTrail                                                                                                            USER_TABLE                                                  
ZLPDomain                                                                                                                        USER_TABLE                                                  
ZLPFolder                                                                                                                        USER_TABLE                                                  
ZLPMessage                                                                                                                       USER_TABLE                                                  
ZLPMessageAttachment                                                                                                             USER_TABLE                                                  
ZLPMessageSIS                                                                                                                    USER_TABLE                                                  
ZLPMessageSisHeader                                                                                                              USER_TABLE                                                  
ZLPMessageStats                                                                                                                  USER_TABLE                                                  
ZLPolicy                                                                                                                         USER_TABLE                                                  
ZLPolicyRule                                                                                                                     USER_TABLE                                                  
ZLPReceivedMail                                                                                                                  USER_TABLE                                                  
ZLPRecipientInfo                                                                                                                 USER_TABLE                                                  
ZLPRecipientMailPolicy                                                                                                           USER_TABLE                                                  
ZLPUser                                                                                                                          USER_TABLE                                                  
ZLPUserPasswordSecurity                                                                                                          USER_TABLE                                                  
ZLShareItem                                                                                                                      USER_TABLE                                                  
ZLTempParam                                                                                                                      USER_TABLE                                                  
ZLUserPolicy                                                                                                                     USER_TABLE                                                  
ZLUserPolicyRule                                                                                                                 USER_TABLE                                                  
ZViteAccess                                                                                                                      USER_TABLE                                                  
ZViteAuditTrail                                                                                                                  USER_TABLE                                                  
ZViteInfo                                                                                                                        USER_TABLE                                                  

(394 rows affected)
